GARBAGE_COLLECTOR;MEAN_rdtsc;MEDIAN_rdtsc;MEAN_clock;MEDIAN_clock
BinTreeI_8192B_Z=64_2018-10-03:19:53:17/
cheney;19192.21;15260;5.235443;4
custom;12925.11;11288;3.605063;3
generated;11852.7;11661;3.302532;3
BinTreeI_8192B_Z=65_2018-10-03:19:53:27/
cheney;18919.44;13168;5.223558;4
custom;10932.48;9239;3.038462;3
generated;11604.62;10450;3.207933;3
BinTreeI_8192B_Z=66_2018-10-03:19:53:37/
cheney;20854.24;14172;5.807692;4
custom;10989.3;9522;3.092548;3
generated;10638.11;10027;2.955529;3
BinTreeI_8192B_Z=67_2018-10-03:19:53:46/
cheney;20893.81;16634;5.739286;5
custom;12067.04;11678;3.35119;3
generated;12741.85;12601;3.553571;3.5
BinTreeI_8192B_Z=68_2018-10-03:19:53:56/
cheney;25331.34;17351;7.003488;5
custom;13800.25;9939;3.824419;3
generated;11292.4;10486;3.124419;3
BinTreeI_8192B_Z=69_2018-10-03:19:54:07/
cheney;24488.76;16153;6.771715;5
custom;11536.01;9701;3.187082;3
generated;11569.45;10980;3.206013;3
BinTreeI_8192B_Z=70_2018-10-03:19:54:17/
cheney;24514.92;15824;6.673493;4
custom;11016.46;9808;3.063709;3
generated;10927.61;10508;3.01934;3
BinTreeI_8192B_Z=71_2018-10-03:19:54:28/
cheney;23151.6;14851;6.405251;4
custom;13914.14;9912;3.856164;3
generated;11223.3;10636;3.089041;3
BinTreeI_8192B_Z=7_2018-10-03:19:44:22/
cheney;6509.121;4750;1.919643;1
custom;5921.229;4284;1.798214;1
generated;4518.343;3902;1.3125;1
BinTreeI_8192B_Z=72_2018-10-03:19:54:37/
cheney;19286.2;17256;5.326484;5
custom;15221.03;12610;4.163242;3
generated;12747.74;11388;3.531963;3
BinTreeI_8192B_Z=73_2018-10-03:19:54:48/
cheney;22985.89;15773;6.322296;4
custom;14068.98;10392;3.874172;3
generated;12351.72;11421;3.422737;3
BinTreeI_8192B_Z=74_2018-10-03:19:54:58/
cheney;23721.99;16982;6.52;5
custom;12400.51;10338;3.412973;3
generated;12111.32;11738;3.36;3
BinTreeI_8192B_Z=75_2018-10-03:19:55:08/
cheney;25538.78;17658;7.041349;5
custom;15183.6;10658;4.20457;3
generated;11819.44;11198;3.286181;3
BinTreeI_8192B_Z=76_2018-10-03:19:55:18/
cheney;23947.94;16098;6.625828;5
custom;12184.93;9699;3.352097;3
generated;11520.75;11120;3.197572;3
BinTreeI_8192B_Z=77_2018-10-03:19:55:28/
cheney;17624.43;17846;4.8337;5
custom;16338.64;13672;4.540749;4
generated;13385.69;12434;3.692731;4
BinTreeI_8192B_Z=78_2018-10-03:19:55:38/
cheney;22015.45;15998;6.06505;4
custom;15536.7;10910;4.31312;3
generated;11869.49;11386;3.282249;3
BinTreeI_8192B_Z=79_2018-10-03:19:55:49/
cheney;26035.66;17332;7.194475;5
custom;13807.43;10348;3.78453;3
generated;11480.65;11106;3.175691;3
BinTreeI_8192B_Z=80_2018-10-03:19:56:00/
cheney;24121.42;15510;6.652838;4
custom;12051.73;9866;3.378821;3
generated;13074.25;11295;3.60917;3
BinTreeI_8192B_Z=81_2018-10-03:19:56:11/
cheney;26691.22;18686;7.359406;5
custom;14321.89;10952;3.968317;3
generated;12791.87;12076;3.516832;3
BinTreeI_8192B_Z=8_2018-10-03:19:44:31/
cheney;9379.343;6491;2.648214;2
custom;5329.954;4147;1.585714;1
generated;4478.625;4000;1.310714;1
BinTreeI_8192B_Z=82_2018-10-03:19:56:22/
cheney;29028.68;19408;8.012435;5
custom;15621.88;11080;4.349223;3
generated;12770.35;11850;3.516062;3
BinTreeI_8192B_Z=83_2018-10-03:19:56:33/
cheney;23338.98;15279;6.462366;4
custom;14948.63;10540;4.129032;3
generated;12655.84;11639;3.492473;3
BinTreeI_8192B_Z=84_2018-10-03:19:56:44/
cheney;25929.55;17279;7.148221;5
custom;16964.28;11631;4.713439;3
generated;13019.58;12471;3.626482;3
BinTreeI_8192B_Z=85_2018-10-03:19:56:55/
cheney;27672.96;17519;7.575419;5
custom;14967.25;11487;4.1527;3
generated;15403.05;13213;4.257914;4
BinTreeI_8192B_Z=86_2018-10-03:19:57:06/
cheney;25567.64;17639;7.034749;5
custom;15516.9;11344;4.28861;3
generated;14776.19;12680;4.080116;4
BinTreeI_8192B_Z=87_2018-10-03:19:57:16/
cheney;24701.43;16478;6.814186;5
custom;11151.42;10482;3.061938;3
generated;12614.2;12116;3.494505;3
BinTreeI_8192B_Z=88_2018-10-03:19:57:28/
cheney;27942.24;17626;7.698324;5
custom;15938.65;11615;4.383613;3
generated;13290.36;12915;3.66946;4
BinTreeI_8192B_Z=89_2018-10-03:19:57:39/
cheney;27016.57;17180;7.443086;5
custom;16346.62;11548;4.490122;3
generated;13318.05;12860;3.678269;4
BinTreeI_8192B_Z=90_2018-10-03:19:57:50/
cheney;28056.27;17961;7.729376;5
custom;15482.09;11266;4.288732;3
generated;12521.82;12059;3.462777;3
BinTreeI_8192B_Z=91_2018-10-03:19:58:02/
cheney;23200.59;17070;6.412801;5
custom;16563.91;11505;4.583488;3
generated;15027.27;12968;4.151206;4
BinTreeI_8192B_Z=9_2018-10-03:19:44:41/
cheney;9894.925;7491;2.854093;2
custom;4976.014;4085;1.467972;1
generated;4127.299;3772;1.183274;1
BinTreeI_8192B_Z=92_2018-10-03:19:58:12/
cheney;27613.61;19982;7.568982;6
custom;13213.5;11070;3.647954;3
generated;13711.45;12772;3.801142;4
BinTreeI_8192B_Z=93_2018-10-03:19:58:23/
cheney;28265.35;17418;7.777673;5
custom;14319.69;11384;3.932829;3
generated;13351.21;12856;3.673605;4
BinTreeI_8192B_Z=94_2018-10-03:19:58:35/
cheney;25557.01;17526;7.043836;5
custom;13274.95;11234;3.677626;3
generated;13509.12;12942;3.719635;4
BinTreeI_8192B_Z=95_2018-10-03:19:58:45/
cheney;23385.32;22120;6.40333;6
custom;19250.49;15038;5.288622;4
generated;15875.62;16550;4.372803;4
BinTreeII_8192B_Y=100_2018-10-03:20:14:33/
cheney;16228.83;10186;4.577495;3
custom;7788.221;6528;2.259023;2
generated;7646.055;5858;2.186837;2
BinTreeII_8192B_Y=101_2018-10-03:20:14:42/
cheney;14204.79;11354;3.965235;3
custom;8836.221;6922;2.543967;2
generated;7094.102;7244;2.02454;2
BinTreeII_8192B_Y=10_2018-10-03:20:00:27/
cheney;19989.17;12982;5.555108;4
custom;9891.25;8066;2.719086;2
generated;9024.371;8496;2.509409;2
BinTreeII_8192B_Y=102_2018-10-03:20:14:52/
cheney;13935.92;8870;3.909283;3
custom;8271.021;7140;2.390295;2
generated;6347.451;5888;1.833333;2
BinTreeII_8192B_Y=103_2018-10-03:20:15:00/
cheney;11980.8;8767;3.388;3
custom;8648.256;7542;2.456;2
generated;8154.528;7423;2.274;2
BinTreeII_8192B_Y=104_2018-10-03:20:15:10/
cheney;20534.87;16560;5.746615;5
custom;10404.22;8702;2.961315;2
generated;7822.132;8168;2.16441;2
BinTreeII_8192B_Y=105_2018-10-03:20:15:20/
cheney;17400.06;13578;4.887712;4
custom;7290.958;6241;2.129237;2
generated;5866.559;5628;1.650424;2
BinTreeII_8192B_Y=106_2018-10-03:20:15:28/
cheney;13169.64;12074;3.677362;3
custom;8806.488;8322;2.456328;2
generated;8503.194;8796;2.383244;2
BinTreeII_8192B_Y=107_2018-10-03:20:15:38/
cheney;16346.83;10798;4.543689;3
custom;9131.196;7506;2.666019;2
generated;8377.46;7134;2.409709;2
BinTreeII_8192B_Y=108_2018-10-03:20:15:48/
cheney;20540.73;12102;5.734733;3
custom;11786.79;9313;3.362595;3
generated;7484.511;7774;2.120229;2
BinTreeII_8192B_Y=109_2018-10-03:20:15:56/
cheney;10402.98;10223;2.920152;3
custom;8995.327;8162;2.555133;2
generated;8141.722;8281;2.273764;2
BinTreeII_8192B_Y=110_2018-10-03:20:16:05/
cheney;16652.2;11325;4.665354;3
custom;7147.272;7134;2.062992;2
generated;6452.736;6979;1.822835;2
BinTreeII_8192B_Y=111_2018-10-03:20:16:15/
cheney;22222.22;17228;6.189565;5
custom;8884.595;8446;2.563478;2
generated;8391.857;8948;2.366957;2
BinTreeII_8192B_Y=11_2018-10-03:20:00:37/
cheney;21469.81;14854;5.942359;4
custom;10659.72;8190;2.982574;2
generated;9100.694;8670;2.529491;2
